,pruning,include_original_features,dataset,averageAUROC,HammingLoss,SubsetAccuracy,RankingLoss,MacroPrecision,MacroRecall,MacroFOne,nodes,leaves,groups,avg_group_features,gen_XofN_time,training_time,#used,#unused,group_max_len,group_min_len
46,True,with_org,CPI+fingerprint_cardiac,0.58719645,0.26603,0.37147399999999997,0.22856800000000002,0.44736200000000004,0.188721,0.259818,85.0,43.0,151.4,3.170462649450419,18.78722951,4.076653010013979,128.1,2018.9,7.0,2.0
47,False,no_org,CPI+fingerprint_cardiac,0.57696423,0.355159,0.175685,0.227746,0.331463,0.409814,0.36324999999999996,855.2,428.1,151.4,3.170462649450419,18.78722951,1.030298210005276,128.1,2018.9,7.0,2.0
48,True,with_org,fingerprint_ten,0.59716584,0.40694600000000003,0.0725189,0.290203,0.588577,0.577159,0.580395,163.4,82.2,108.9,2.3231314467618756,3.9086197400000002,1.3613729699980468,91.0,449.0,5.4,2.0
49,True,no_org,fingerprint_ten,0.59398576,0.412138,0.0557253,0.29464,0.58175,0.590672,0.5832930000000001,136.4,68.7,108.9,2.3231314467618756,3.9086197400000002,0.742558119999012,91.0,449.0,5.4,2.0
50,False,with_org,fingerprint_ten,0.58508263,0.4229,0.05114506,0.292056,0.561593,0.650215,0.601366,959.8,480.4,108.9,2.3231314467618756,3.9086197400000002,1.3613729699980468,91.0,449.0,5.4,2.0
51,False,no_org,fingerprint_ten,0.58702633,0.41687,0.051908600000000006,0.290897,0.5679540000000001,0.653654,0.606081,950.4,475.7,108.9,2.3231314467618756,3.9086197400000002,0.742558119999012,91.0,449.0,5.4,2.0
52,True,with_org,CPI_ten,0.59910607,0.40299699999999994,0.0614741,0.28079299999999996,0.611501,0.574486,0.583392,94.6,47.8,253.7,3.3631237176346938,12.67936241,2.6482147400005487,97.5,1509.5,11.9,2.0
53,True,no_org,CPI_ten,0.61161737,0.39086600000000005,0.0596886,0.27717,0.621464,0.6022350000000001,0.600968,61.4,31.2,253.7,3.3631237176346938,12.67936241,0.8949073200041312,97.5,1509.5,11.9,2.0
54,False,with_org,CPI_ten,0.5845914000000001,0.42120300000000005,0.052456899999999994,0.292299,0.586471,0.609131,0.594512,722.6,361.8,253.7,3.3631237176346938,12.67936241,2.6482147400005487,97.5,1509.5,11.9,2.0
55,False,no_org,CPI_ten,0.58615578,0.41287900000000005,0.0416133,0.28937,0.5920500000000001,0.6124539999999999,0.597372,584.0,292.5,253.7,3.3631237176346938,12.67936241,0.8949073200041312,97.5,1509.5,11.9,2.0
56,False,with_org,CPI+fingerprint_ten,0.58658491,0.420524,0.047570600000000005,0.293671,0.564658,0.627205,0.592422,1003.4,502.2,124.8,2.6742022932927534,16.14723326,3.7789874899972347,106.6,2040.4,6.4,2.0
57,True,with_org,CPI+fingerprint_ten,0.60575504,0.40320599999999995,0.0728439,0.28758999999999996,0.5932649999999999,0.562195,0.575422,170.6,85.8,124.8,2.6742022932927534,16.14723326,3.7789874899972347,106.6,2040.4,6.4,2.0
58,True,no_org,CPI+fingerprint_ten,0.60914289,0.401069,0.061297000000000004,0.289841,0.5947250000000001,0.572551,0.579145,139.2,70.1,124.8,2.6742022932927534,16.14723326,0.8189363200013758,106.6,2040.4,6.4,2.0
59,False,no_org,CPI+fingerprint_ten,0.59220366,0.412567,0.05267429999999999,0.298555,0.570508,0.6519280000000001,0.606448,987.6,494.3,124.8,2.6742022932927534,16.14723326,0.8189363200013758,106.6,2040.4,6.4,2.0
