UMLS_id	MedDRA_ADR_level	MedDRA_ADR_id	MedDRA_ADR_name
C0002689	LT	10071564	Limb amputation
C0002689	PT	10071564	Limb amputation
C0002691	LT	10000243	Above knee amputation
C0002691	LT	10002009	Amputation above knee
C0002692	LT	10004227	Below knee amputation
C0002694	LT	10061385	Traumatic amputation
C0002694	PT	10061385	Traumatic amputation
C0002694	LT	10044477	Traumatic amputation NOS
C0002726	LT	10002022	Amyloidosis
C0002726	PT	10002022	Amyloidosis
C0002726	HT	10002023	Amyloidoses
C0002726	LT	10002024	Amyloidosis NOS
C0002726	LT	10002021	Amyloid disease
C0002736	LT	10002026	Amyotrophic lateral sclerosis
C0002736	PT	10002026	Amyotrophic lateral sclerosis
C0002736	LT	10052889	ALS
C0002753	OL	10002116	Anal and rectal polyp
C0002758	OL	10002166	Anal or rectal pain
C0002766	LT	10056350	Pain management
C0002766	PT	10056350	Pain management
C0002769	LT	10054891	Epidural analgesia
C0002769	PT	10054891	Epidural analgesia
C0002792	LT	10002218	Anaphylaxis
C0002792	LT	10002199	Anaphylactic shock
C0002792	PT	10002199	Anaphylactic shock
C0002792	LT	10002198	Anaphylactic reaction
C0002792	PT	10002198	Anaphylactic reaction
C0002792	LT	10069526	Allergic shock
C0002792	LT	10042931	Systemic anaphylaxis
C0002792	LT	10042930	Systemic anaphylactic reaction
C0002831	LT	10002255	Ancylostomiasis
C0002871	LT	10002272	Anemia
C0002871	LT	10002034	Anaemia
C0002871	PT	10002034	Anaemia
C0002871	LT	10002071	Anaemia NOS
C0002871	MTH_LT	10002071	Anemia NOS
C0002871	LT	10002315	Anemia, unspecified
C0002871	LT	10045627	Unspecified anemia
C0002871	LT	10002082	Anaemia, unspecified
C0002871	LT	10055742	Unspecified anaemia
C0002873	LT	10054310	Anemia of chronic disease
C0002873	LT	10002073	Anaemia of chronic disease
C0002873	PT	10002073	Anaemia of chronic disease
C0002874	LT	10002274	Anemia aplastic
C0002874	LT	10002969	Aplastic anemia
C0002874	LT	10002967	Aplastic anaemia
C0002874	PT	10002967	Aplastic anaemia
C0002874	LT	10002037	Anaemia aplastic
C0002874	LT	10002968	Aplastic anaemia, unspecified
C0002874	LT	10002970	Aplastic anemia, unspecified
C0002875	LT	10055203	Cooley's anemia
C0002875	LT	10010928	Cooley's anaemia
C0002875	LT	10054661	Thalassemia major
C0002875	LT	10043392	Thalassaemia major
C0002878	LT	10019493	Hemolytic anemia
C0002878	LT	10055193	Anemia hemolytic
C0002878	LT	10018916	Haemolytic anaemia
C0002878	PT	10018916	Haemolytic anaemia
C0002878	LT	10002045	Anaemia haemolytic
C0002878	LT	10018921	Haemolytic anaemia NOS
C0002878	LT	10002284	Anemia hemolytic (NOS)
C0002878	LT	10019494	Hemolytic anemia (NOS)
C0002878	MTH_LT	10018921	Hemolytic anemia NOS
C0002879	LT	10055191	Acquired hemolytic anemia
C0002879	LT	10055207	Hemolytic anemia acquired
C0002879	OL	10000554	Acquired hemolytic anemias
C0002879	LT	10000549	Acquired haemolytic anaemia
C0002879	OL	10000551	Acquired haemolytic anaemias
C0002879	LT	10018917	Haemolytic anaemia acquired
C0002879	LT	10000550	Acquired haemolytic anaemia, unspecified
C0002879	LT	10000553	Acquired hemolytic anemia, unspecified
C0002880	LT	10003825	Autoimmune hemolytic anemia
C0002880	LT	10073784	Anemia hemolytic autoimmune
C0002880	OL	10003826	Autoimmune hemolytic anemias
C0002880	LT	10073785	Autoimmune haemolytic anaemia
C0002880	PT	10073785	Autoimmune haemolytic anaemia
C0002880	LT	10003822	Autoimmune haemolytic anaemia NOS
C0002880	MTH_LT	10003822	Autoimmune hemolytic anemia NOS
C0002880	LT	10002046	Anaemia haemolytic autoimmune
C0002880	OL	10003823	Autoimmune haemolytic anaemias
C0002880	LT	10002285	Anemia hemolytic autoimmune (NOS)
C0002881	LT	10055202	Congenital hemolytic anemia
C0002881	LT	10010489	Congenital haemolytic anaemia NOS
C0002881	MTH_LT	10010489	Congenital hemolytic anemia NOS
C0002881	LT	10073793	Congenital haemolytic anaemia
C0002881	LT	10054399	Hereditary hemolytic anemia
C0002881	LT	10019886	Hereditary hemolytic anemias
C0002881	LT	10060893	Hereditary haemolytic anaemia
C0002881	PT	10060893	Hereditary haemolytic anaemia
