Dataset,XofN method,Ung or Org,Macro-AUROC,Hamming Loss,Subset Accuracy,Macro-F1,Macro-Recall,Macro-Precision,Ranking Loss,Nodes; Leaves,#XofN; #Feat/XofN,#Ung. Feats,XofN time (s); PCT tr. time (s)
fingerprint_mid_freq,XofN Vouk,Ung,0.565,0.392,0.225,0.373,0.321,0.458,0.27,133.6; 67.3,78.7; 2.8,461.2,4.3; 0.6
fingerprint_mid_freq,XofN Vouk,Org,0.58,0.391,0.215,0.413,0.375,0.465,0.258,172.8; 86.9,78.7; 2.8,461.2,4.3; 1.2
fingerprint_low_freq,XofN Vouk,Ung,0.569,0.254,0.349,0.194,0.135,0.385,0.277,50.0; 25.5,141.9; 3.5,413.1,6.7; 0.8
fingerprint_low_freq,XofN Vouk,Org,0.587,0.256,0.345,0.208,0.153,0.452,0.271,63.0; 32.0,141.9; 3.5,413.1,6.7; 1.5
fingerprint_high_freq,XofN Vouk,Ung,0.565,0.23,0.505,0.866,0.953,0.794,0.161,35.8; 18.4,78.1; 3.1,469.8,4.1; 0.6
fingerprint_high_freq,XofN Vouk,Org,0.565,0.233,0.498,0.863,0.948,0.793,0.162,45.0; 23.0,78.1; 3.1,469.8,4.1; 1.4
fingerprint_cardiac,XofN Vouk,Ung,0.554,0.274,0.348,0.171,0.132,0.391,0.222,46.6; 23.8,78.0; 3.7,446.2,5.7; 0.7
fingerprint_cardiac,XofN Vouk,Org,0.555,0.271,0.355,0.215,0.15,0.423,0.224,54.4; 27.7,78.0; 3.7,446.2,5.7; 1.4
CPI_mid_freq,XofN Vouk,Ung,0.58,0.377,0.249,0.397,0.327,0.527,0.269,77.8; 39.4,140.2; 2.3,1528.5,15.8; 0.8
CPI_mid_freq,XofN Vouk,Org,0.574,0.387,0.236,0.421,0.367,0.509,0.264,119.8; 60.4,140.2; 2.3,1528.5,15.8; 2.6
CPI_low_freq,XofN Vouk,Ung,0.599,0.267,0.312,0.229,0.189,0.472,0.28,53.8; 27.4,393.1; 2.9,1456.7,22.9; 1.2
CPI_low_freq,XofN Vouk,Org,0.598,0.265,0.318,0.279,0.201,0.488,0.281,60.4; 30.7,393.1; 2.9,1456.7,22.9; 3.2
CPI_high_freq,XofN Vouk,Ung,0.535,0.218,0.534,0.875,0.978,0.794,0.164,14.2; 7.6,87.9; 3.2,1551.6,16.3; 0.6
