dataset,label,pruning,include_original_features,averageAUROC,FOne,Precision,Recall,nodes,leaves,#constr_feats,training_time
CPI+fingerprint_mid_freq,se_C0030252,True,no_org,0.61235697,0.33152669461951323,0.4752430857400432,0.2920198576857844,10.8,5.9,27.3,0.3309333700221032
CPI+fingerprint_mid_freq,se_C0030252,True,with_org,0.63823251,0.5288459479199579,0.5718447052490098,0.49543277516838635,242.0,121.5,27.3,2.7958103099954315
CPI+fingerprint_mid_freq,se_C0036572,False,no_org,0.59546027,0.32470803106022555,0.48026852797510167,0.2572052245872052,62.2,31.6,10.9,0.30150398999685424
CPI+fingerprint_mid_freq,se_C0036572,False,with_org,0.59256567,0.4866697073248732,0.4661963755264498,0.5131943492464695,390.8,195.9,10.9,2.843456380011048
CPI+fingerprint_mid_freq,se_C0036572,True,no_org,0.56715737,0.2738194977739111,0.49763843113741696,0.19718815394624595,18.0,9.5,10.9,0.30150398999685424
CPI+fingerprint_mid_freq,se_C0036572,True,with_org,0.57918952,0.46166632053269757,0.48385999681030734,0.4484756657998285,265.6,133.3,10.9,2.843456380011048
CPI_cardiac,se_C0003811,False,no_org,0.5722923,0.42360653895627165,0.4273308242908823,0.42829630767130766,249.4,125.2,2304.2,2.5137414800003173
CPI_cardiac,se_C0003811,False,with_org,0.5688719499999999,0.43999297826622225,0.41822652450652054,0.46918697106197105,309.8,155.4,2304.2,4.431295790011063
CPI_cardiac,se_C0003811,True,no_org,0.5733530499999999,0.37367723280558873,0.44346362503651504,0.3298426386913229,136.4,68.7,2304.2,2.5137414800003173
CPI_cardiac,se_C0003811,True,with_org,0.5586499899999999,0.3891019791477256,0.44611324263498175,0.3485594116844117,158.0,79.5,2304.2,4.431295790011063
CPI_cardiac,se_C0016382,False,no_org,0.5854447300000001,0.400388509863851,0.4427105302105302,0.3678626784721986,234.4,117.7,2867.6,3.084979409980588
CPI_cardiac,se_C0016382,False,with_org,0.55233357,0.40920841743437314,0.40370157031594867,0.4219073844112544,316.8,158.9,2867.6,5.468645030003972
CPI_cardiac,se_C0016382,True,no_org,0.5544447,0.3636647876092728,0.5015093729799612,0.28806879330679636,109.6,55.3,2867.6,3.084979409980588
CPI_cardiac,se_C0016382,True,with_org,0.54988777,0.3706523793788862,0.4497355912061794,0.3181525859331587,148.0,74.5,2867.6,5.468645030003972
CPI_cardiac,se_C0018790,False,no_org,0.5337672,0.2892837608070275,0.30049469049469046,0.2915761389341279,158.0,79.5,1429.6,1.6696111100143753
CPI_cardiac,se_C0018790,False,with_org,0.5445089000000001,0.2739961621184117,0.26537828592975654,0.30149567842157693,220.8,110.9,1429.6,3.5225419600261376
CPI_cardiac,se_C0018790,True,no_org,0.54180184,0.2745038089865676,0.3398711664152841,0.24169382712305718,75.2,38.1,1429.6,1.6696111100143753
CPI_cardiac,se_C0018790,True,with_org,0.54456945,0.27600434478146846,0.34712349054454317,0.23886886682737404,89.4,45.2,1429.6,3.5225419600261376
CPI_cardiac,se_C0018799,False,no_org,0.5736214000000001,0.3791951715818932,0.4406662740747237,0.3412964650196014,217.6,109.3,2024.1,2.241186629992444
CPI_cardiac,se_C0018799,False,with_org,0.52918471,0.3648612550042848,0.35391437368517165,0.38303711228861176,322.6,161.8,2024.1,4.137068860023282
CPI_cardiac,se_C0018799,True,no_org,0.5710209199999999,0.3292469230237651,0.4502087597289369,0.265076660801839,110.8,55.9,2024.1,2.241186629992444
CPI_cardiac,se_C0018799,True,with_org,0.53026598,0.3369673019655174,0.39347011179838504,0.3006018984151316,157.0,79.0,2024.1,4.137068860023282
CPI_cardiac,se_C0027051,False,no_org,0.59733209,0.3540316826563997,0.38032599771542797,0.33457447435047544,188.8,94.9,2456.3,2.7249531999928878
CPI_cardiac,se_C0027051,False,with_org,0.59648809,0.3956977724388269,0.3765636976307458,0.424136604270364,281.6,141.3,2456.3,4.85161752999993
CPI_cardiac,se_C0027051,True,no_org,0.58783781,0.3547379115881323,0.4467658618471312,0.3006745855851807,105.8,53.4,2456.3,2.7249531999928878
CPI_cardiac,se_C0027051,True,with_org,0.58252083,0.3670689284803534,0.4492068758853656,0.31685374836612323,115.2,58.1,2456.3,4.85161752999993
CPI_cardiac,se_C0428977,False,no_org,0.61703443,0.42114218338243836,0.43691762930708167,0.41387186010030835,200.4,100.7,1838.5,2.0648445999831893
CPI_cardiac,se_C0428977,False,with_org,0.6006414099999999,0.4222752150287624,0.39043460601572555,0.46307450881512746,281.2,141.1,1838.5,4.029081559984479
CPI_cardiac,se_C0428977,True,no_org,0.61888036,0.43292172644691024,0.5107915518738948,0.3838959930836199,105.4,53.2,1838.5,2.0648445999831893
CPI_cardiac,se_C0428977,True,with_org,0.5815488799999999,0.41254382082479485,0.49375884540072185,0.35642038456059755,120.4,60.7,1838.5,4.029081559984479
CPI_high_freq,se_C0011603,False,no_org,0.55435529,0.8331699779617716,0.7801417425555036,0.8969990981074043,134.0,67.5,1934.1,2.137720970006194
CPI_high_freq,se_C0011603,False,with_org,0.5653348300000001,0.8152837765621989,0.7850190243035745,0.8515866591136281,198.0,99.5,1934.1,3.932548020000104
CPI_high_freq,se_C0011603,True,no_org,0.57636416,0.8450246128576475,0.7856185489489494,0.9167048063670198,65.8,33.4,1934.1,2.137720970006194
CPI_high_freq,se_C0011603,True,with_org,0.55509915,0.8287672678964793,0.7827154759686128,0.8833878710654574,101.0,51.0,1934.1,3.932548020000104
CPI_high_freq,se_C0012833,False,no_org,0.63920708,0.8301330813735547,0.7693047523065333,0.9027766453380812,120.0,60.5,1650.1,1.8404120500199497
CPI_high_freq,se_C0012833,False,with_org,0.5872845200000001,0.8029820107424899,0.7710097101445884,0.8398751536071266,256.4,128.7,1650.1,3.7136876800097527
CPI_high_freq,se_C0012833,True,no_org,0.61652477,0.8310835422585996,0.764017938350601,0.9121552174195029,56.0,28.5,1650.1,1.8404120500199497
CPI_high_freq,se_C0012833,True,with_org,0.5989067,0.817907730115144,0.767822236250433,0.8761902821191138,102.2,51.6,1650.1,3.7136876800097527
CPI_high_freq,se_C0015230,False,no_org,0.59298516,0.8385044794211334,0.7817083262174611,0.9069147109306306,124.0,62.5,1519.5,1.7224657899700104
CPI_high_freq,se_C0015230,False,with_org,0.54991042,0.8074021294379404,0.7787333251479442,0.8407489704656399,203.0,102.0,1519.5,3.447681449993979
CPI_high_freq,se_C0015230,True,no_org,0.58924524,0.8391650408162649,0.7768685369076533,0.9147744998830968,62.8,31.9,1519.5,1.7224657899700104
CPI_high_freq,se_C0015230,True,with_org,0.5775067899999999,0.8204609380644342,0.7787928386751705,0.8699763079942159,101.2,51.1,1519.5,3.447681449993979
CPI_high_freq,se_C0018681,False,no_org,0.55952945,0.8447308270433563,0.801470580060576,0.8938870044014445,119.0,60.0,1704.3,1.933774689969141
CPI_high_freq,se_C0018681,False,with_org,0.5572016,0.8352457122594256,0.8060163506608256,0.8680243084612129,183.6,92.3,1704.3,3.7798211699933746
CPI_high_freq,se_C0018681,True,no_org,0.57513895,0.8583577553121469,0.8043629484591346,0.9206543712746458,49.0,25.0,1704.3,1.933774689969141
CPI_high_freq,se_C0018681,True,with_org,0.57198204,0.858749399639167,0.8086400386887711,0.9166315948177406,77.4,39.2,1704.3,3.7798211699933746
CPI_high_freq,se_C0027497,False,no_org,0.57277557,0.9010613355655247,0.870126648541568,0.935406639920771,87.4,44.2,900.5,1.129728920001071
