feature,count_ones
cpi_9606.ENSP00000298171,21
cpi_9606.ENSP00000354107,21
cpi_9606.ENSP00000003100,21
cpi_9606.ENSP00000176195,21
cpi_9606.ENSP00000417281,21
cpi_9606.ENSP00000307235,21
cpi_9606.ENSP00000305416,21
cpi_9606.ENSP00000363092,21
cpi_9606.ENSP00000286648,21
cpi_9606.ENSP00000360991,21
cpi_9606.ENSP00000229239,21
cpi_9606.ENSP00000355523,21
cpi_9606.ENSP00000228872,21
cpi_9606.ENSP00000361850,21
cpi_9606.ENSP00000359285,21
cpi_9606.ENSP00000363296,21
cpi_9606.ENSP00000231454,21
cpi_9606.ENSP00000296028,21
cpi_9606.ENSP00000337825,21
cpi_9606.ENSP00000371236,21
cpi_9606.ENSP00000368880,21
cpi_9606.ENSP00000367608,21
cpi_9606.ENSP00000350256,21
cpi_9606.ENSP00000255008,21
cpi_9606.ENSP00000262290,21
cpi_9606.ENSP00000256010,21
cpi_9606.ENSP00000345774,21
cpi_9606.ENSP00000237014,21
cpi_9606.ENSP00000265164,21
cpi_9606.ENSP00000348461,21
cpi_9606.ENSP00000350928,21
cpi_9606.ENSP00000351671,21
cpi_9606.ENSP00000353791,21
cpi_9606.ENSP00000304414,20
cpi_9606.ENSP00000434516,20
cpi_9606.ENSP00000262623,20
cpi_9606.ENSP00000359663,20
cpi_9606.ENSP00000354901,20
cpi_9606.ENSP00000349960,20
cpi_9606.ENSP00000303522,20
cpi_9606.ENSP00000360141,20
cpi_9606.ENSP00000292301,20
cpi_9606.ENSP00000307900,20
cpi_9606.ENSP00000252723,20
cpi_9606.ENSP00000252486,20
cpi_9606.ENSP00000360967,20
cpi_9606.ENSP00000218548,20
cpi_9606.ENSP00000344173,20
cpi_9606.ENSP00000219700,20
cpi_9606.ENSP00000385806,20
cpi_9606.ENSP00000332659,20
cpi_9606.ENSP00000332591,20
cpi_9606.ENSP00000431418,20
cpi_9606.ENSP00000333685,20
cpi_9606.ENSP00000381105,20
cpi_9606.ENSP00000295598,20
cpi_9606.ENSP00000376776,20
cpi_9606.ENSP00000338072,20
cpi_9606.ENSP00000299855,20
cpi_9606.ENSP00000299727,20
cpi_9606.ENSP00000299178,20
cpi_9606.ENSP00000338185,20
cpi_9606.ENSP00000316786,20
cpi_9606.ENSP00000260302,20
cpi_9606.ENSP00000357301,20
cpi_9606.ENSP00000260402,20
cpi_9606.ENSP00000297313,20
cpi_9606.ENSP00000448219,20
cpi_9606.ENSP00000296871,20
cpi_9606.ENSP00000261405,20
cpi_9606.ENSP00000447173,20
cpi_9606.ENSP00000212015,20
cpi_9606.ENSP00000296522,20
cpi_9606.ENSP00000334246,20
cpi_9606.ENSP00000261799,20
cpi_9606.ENSP00000301645,20
cpi_9606.ENSP00000320935,20
cpi_9606.ENSP00000296027,20
cpi_9606.ENSP00000295683,20
cpi_9606.ENSP00000264382,20
cpi_9606.ENSP00000319591,20
cpi_9606.ENSP00000388648,20
cpi_9606.ENSP00000363832,20
cpi_9606.ENSP00000306138,20
cpi_9606.ENSP00000363641,20
cpi_9606.ENSP00000243167,20
cpi_9606.ENSP00000329684,20
cpi_9606.ENSP00000225992,20
cpi_9606.ENSP00000327801,20
cpi_9606.ENSP00000340820,20
cpi_9606.ENSP00000330284,20
cpi_9606.ENSP00000407375,20
cpi_9606.ENSP00000328472,20
cpi_9606.ENSP00000341045,20
cpi_9606.ENSP00000265171,20
cpi_9606.ENSP00000230671,20
cpi_9606.ENSP00000326159,20
cpi_9606.ENSP00000276431,20
cpi_9606.ENSP00000352839,20
cpi_9606.ENSP00000227378,20
cpi_9606.ENSP00000272928,20
cpi_9606.ENSP00000279230,20
cpi_9606.ENSP00000355536,19
cpi_9606.ENSP00000285930,19
cpi_9606.ENSP00000265723,19
cpi_9606.ENSP00000359211,19
cpi_9606.ENSP00000441600,19
cpi_9606.ENSP00000215659,19
cpi_9606.ENSP00000266682,19
cpi_9606.ENSP00000240619,19
cpi_9606.ENSP00000441949,19
cpi_9606.ENSP00000372023,19
cpi_9606.ENSP00000371932,19
cpi_9606.ENSP00000358783,19
cpi_9606.ENSP00000333994,19
cpi_9606.ENSP00000277120,19
cpi_9606.ENSP00000261693,19
cpi_9606.ENSP00000363431,19
cpi_9606.ENSP00000264426,19
cpi_9606.ENSP00000372326,19
cpi_9606.ENSP00000254066,19
cpi_9606.ENSP00000301908,19
cpi_9606.ENSP00000364801,19
cpi_9606.ENSP00000375093,19
cpi_9606.ENSP00000347046,19
cpi_9606.ENSP00000300900,19
cpi_9606.ENSP00000347197,19
cpi_9606.ENSP00000375086,19
cpi_9606.ENSP00000397026,19
cpi_9606.ENSP00000259607,19
cpi_9606.ENSP00000300060,19
cpi_9606.ENSP00000319635,19
cpi_9606.ENSP00000299766,19
cpi_9606.ENSP00000375066,19
cpi_9606.ENSP00000347942,19
cpi_9606.ENSP00000452780,19
cpi_9606.ENSP00000396320,19
cpi_9606.ENSP00000306884,19
cpi_9606.ENSP00000451030,19
cpi_9606.ENSP00000345728,19
cpi_9606.ENSP00000257254,19
cpi_9606.ENSP00000302846,19
cpi_9606.ENSP00000363643,19
cpi_9606.ENSP00000328708,19
cpi_9606.ENSP00000245457,19
cpi_9606.ENSP00000339377,19
cpi_9606.ENSP00000386229,19
cpi_9606.ENSP00000344192,19
cpi_9606.ENSP00000387123,19
cpi_9606.ENSP00000282561,19
cpi_9606.ENSP00000431719,19
cpi_9606.ENSP00000263967,19
cpi_9606.ENSP00000434364,19
cpi_9606.ENSP00000309591,19
cpi_9606.ENSP00000292513,19
cpi_9606.ENSP00000350878,19
cpi_9606.ENSP00000343428,19
cpi_9606.ENSP00000216911,19
cpi_9606.ENSP00000293288,19
cpi_9606.ENSP00000305302,19
cpi_9606.ENSP00000249041,19
cpi_9606.ENSP00000321821,19
cpi_9606.ENSP00000249284,19
cpi_9606.ENSP00000247881,19
cpi_9606.ENSP00000293778,19
cpi_9606.ENSP00000246115,19
cpi_9606.ENSP00000323549,19
cpi_9606.ENSP00000253122,19
cpi_9606.ENSP00000294728,19
cpi_9606.ENSP00000383558,19
cpi_9606.ENSP00000295256,19
